Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Recommended_Major
b,a,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Media
a,a,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Engineering
a,c,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Engineering
c,d,Yes,No,No,No,No,No,Yes,Yes,No,No,Media
a,b,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Applied Health Sciences
c,a,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Commerce
b,d,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Computer Science
c,a,No,No,Yes,No,No,Yes,No,No,No,Yes,Applied Sciences for Space and Navigation
c,c,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Media
c,b,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Media
b,b,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Applied Health Sciences
a,b,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Engineering
a,c,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
a,b,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Applied Health Sciences
b,b,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Computer Science
a,c,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Engineering
d,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fine Arts
c,a,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Media
b,c,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Computer Science
d,c,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Fine Arts
a,b,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Applied Health Sciences
b,a,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Applied Sciences for Space and Navigation
a,b,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Engineering
b,b,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Computer Science
a,b,No,No,No,Yes,Yes,Yes,No,No,No,No,Applied Health Sciences
a,c,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Engineering
d,b,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Fine Arts
d,a,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Applied Sciences for Space and Navigation
d,a,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Media
d,b,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Applied Health Sciences
d,d,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Fine Arts
c,b,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
c,d,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Commerce
a,c,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Engineering
c,a,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Media
d,d,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Media
c,d,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
c,c,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
c,a,No,No,No,No,Yes,No,Yes,No,Yes,No,Commerce
d,a,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Fine Arts
d,a,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
a,c,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Engineering
c,b,Yes,No,No,Yes,Yes,No,No,No,No,No,Applied Health Sciences
b,d,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Computer Science
b,a,No,Yes,No,No,No,No,Yes,No,Yes,No,Fine Arts
a,c,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Media
c,a,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Applied Sciences for Space and Navigation
b,d,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Computer Science
d,b,No,No,No,No,No,Yes,No,No,No,No,Commerce
a,a,No,No,No,No,No,No,Yes,No,Yes,No,Media
b,a,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Computer Science
b,a,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Computer Science
a,a,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Engineering
b,d,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Computer Science
c,b,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Applied Health Sciences
b,c,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Computer Science
c,a,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Commerce
b,a,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Computer Science
b,b,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Law
c,a,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
c,a,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
c,c,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
d,b,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Fine Arts
a,b,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Engineering
a,d,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Media
d,d,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Media
a,d,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Engineering
a,c,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Engineering
a,a,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Engineering
b,a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
c,d,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Media
a,d,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Media
